"id","title","story","age_id"
"1","sdf","sdfsdf","1"
"2","은혼 1기","에도 시대 말기, 하늘에서 내려온 ‘천인’의 침략으로 전쟁이 발생한다. 막부들은 결국 천인과의 공존을 위해 사람들에게 검을 소지할 수 없도록 폐도령을 내려서 사무라이가 큰 위기를 겪고 있다. 그러나 사무라이 정신을 굳게 간직한 남자가 있었으니 그의 이름은 사카타 긴토키. 단 것을 좋아하는 저돌적인 이 남자가 부패한 에도를 두동강을 낼지도?! SF 코미디 액션!! 은혼의 장르는 은혼이다!!","4"
"3","주술회전 1기 part 1","소년은 싸운다 --- '올바른 죽음'을 위해 쓰라린 고통, 후회, 치욕 인간으로부터 흘러나온 부정적인 감정이 저주로 변해 일상에 숨어든다, 저주는 세상에 만연한 재앙의 근원이며, 최악의 경우 인간을 죽음으로 이끈다. 그리고 저주는 저주로밖에 없앨 수 없다. 경이적인 신체능력을 가진 소년 이타도리 유지는 아주 평범한 고등학생이었지만, 어느 날 '저주'에 습격당한 친구를 구하기 위해 특급 주물 '양면 스쿠나의 손가락'을 먹고 영혼에 저주가 깃들게 된다. 저주인 '양면 스쿠나'와 몸을 공유하게 된 이타도리는 최강의 주술사인 고죠 사토루의 안내로 저주에 대항하는 전문 기관인 '도쿄 도립 주술 고등전문학교'에 편입하게 되는데...... 저주를 없애기 위해 저주가 된 소년의 돌이킬 수 없는 장렬한 이야기가 움직이기 시작한다--","3"
"4","주술회전 1기 part 2","소년은 싸운다 --- '올바른 죽음'을 위해 쓰라린 고통, 후회, 치욕 인간으로부터 흘러나온 부정적인 감정이 저주로 변해 일상에 숨어든다, 저주는 세상에 만연한 재앙의 근원이며, 최악의 경우 인간을 죽음으로 이끈다. 그리고 저주는 저주로밖에 없앨 수 없다. 경이적인 신체능력을 가진 소년 이타도리 유지는 아주 평범한 고등학생이었지만, 어느 날 '저주'에 습격당한 친구를 구하기 위해 특급 주물 '양면 스쿠나의 손가락'을 먹고 영혼에 저주가 깃들게 된다. 저주인 '양면 스쿠나'와 몸을 공유하게 된 이타도리는 최강의 주술사인 고죠 사토루의 안내로 저주에 대항하는 전문 기관인 '도쿄 도립 주술 고등전문학교'에 편입하게 되는데...... 저주를 없애기 위해 저주가 된 소년의 돌이킬 수 없는 장렬한 이야기가 움직이기 시작한다--","3"
"5","(무삭제) 귀멸의 칼날","숯을 파는 마음씨 착한 소년 탄지로는, 어느 날 혈귀에게 가족을 몰살당한다. 유일하게 살아남은 누이동생 네즈코 마저도 혈귀로 변하고 마는데... 절망적인 현실에 큰 타격을 입은 탄지로였지만, 동생을 인간으로 돌려놓기 위해, 가족을 죽인 혈귀를 심판하기 위해, ‘귀살대’의 길을 가기로 결의한다. 인간과 혈귀가 엮어낸 애절한 오누이의 이야기가 지금 시작된다-!","4"
"6","귀멸의 칼날 : 환락의 거리편","무한열차의 임무를 마친 탄지로 일행의 다음 행선지는? 귀살대 최고의 검사 ‘주‘의 한 사람 ‘음주' 우즈이 텐겐과 탄지로 일행의 새로운 싸움의 막이 열린다!","4"
"7","전생했더니 슬라임이었던 건에 대하여 1기","""id""	""title""	""story""	""age_id""
""7""	""전생했더니 슬라임이었던 건에 대하여 1기""	""샐러리맨인 미카미 사토루는 길에서 칼에 찔려 죽었다. 하지만 문득 정신이 들어 깨어나보니 이세계로 전생해있었다, 그것도 슬라임의 모습으로! 리무루라는 이름으로 새롭게 슬라임 인생을 얻어, 여러 종족이 함께 사는 세계에 떨어지게 된 그는 '종족은 상관없이 모두가 행복하게 살 수 있는 나라'를 만드는 것을 새로운 인생 목표로 삼게 된다!""	""3""
","3"
"8","하이큐!! 1기","배구에 매료되어 중학생 시절 최초이자 마지막 공식전에 출전한 히나타 쇼요. 하지만 '코트 위의 제왕'이라는 별명을 가진 천재 선수 카게야마에게 처참히 패하고 만다. 복수를 맹세한 히나타는 카라스노고 배구부의 문을 두드리는데?! 그곳에서 카게야마를 다시 만난다! 히나타의 능력을 최대한 활용하기 위해 최고의 타이밍에서 토스를 올리는 카게야먀, 두 사람의 힘이 하나로 모아질 때 명콤비가 탄생한다!! 전국대회 예선에 대비해 맹훈련을 실시하는 카라스노 배구부! 하지만 예선의 같은 블록 안에는 아오바조사이, 그리고 인연 깊은 '철벽' 다테공고가 가로막고 있다...! 상대가 누구든 눈앞의 일전을 잡기 위해 나간다! 신생 카라스노 배구부, 마침내 출전!! ‘눈앞의 공이 전부’, 카라스노 선수들의 마음이 이어지는 힘으로 바뀐다! 격전을 제압하고 승리를 거머쥐는 팀은 과연 어디일까?!","0"
"9","(더빙) 꿈빛 파티시엘 리마스터","행복을 느끼게 하는 마법같은 한 입! 케이크를 잘 먹는 것 외에 어떠한 장점도 없다고 생각했던 14세 여자아이 감딸기. 하고 싶은 일조차 없이 하루 하루를 보내던 중, 우연히 세인트 마리 학교의 앙리 선생님과 만나게 된다. “할머니의 맛을 재현하고 싶어!” 라며 꿈을 이루기 위해 세인트 마리 학교에 전학한 감딸기는 학원에 전해 내려오는 전설의 스위트 요정과 만나게 된다. 요리 실력이라고는 전혀 없는 초보자로 매일 매일이 실패의 연속이지만, 감딸기는 맛있는 과자 만들기를 위한 노력을 게을리하지 않는데..","1"
"10","(자막) 하이큐!! 2기","더이상 괴짜 속공을 할 때 눈을 감지 않겠다고 선언한 히나타. 하지만 카게야마는 그 말을 일축하고, 진화하기를 바라는 히나타와의 사이에 균열이 생기고 만다. 도쿄 원정에서 강호 팀과의 도쿄 합숙을 통해 한 사람 한 사람 더욱 진화한 카라스노. 히나타와 카게야마의 새로운 속공도 틀이 잡혀가는 가운데, 마침내 봄철 대회 예선 당일을 맞이한다! 그 동안 쌓이고 쌓인 울분을 힘으로 바꾸어, 드디어 첫 시합 개시! 카라스노는 와쿠타니미나미를 꺾고 대표결정전 준결승에 진출한다. 카라스노는 가진 전력을 모두 쥐어짜 마지막 승부에 나선다!! 숙명의 아오바조사이전 마침내 결판!","3"
